Authors,Title,Year,Source title,Cited by,Link,Abstract,Document Type,Publication Stage,Source,EID
"Hopfe C.J., Soebarto V., Crawley D., Rawal R.","Understanding the differences of integrating building performance simulation in the architectural education system",2017,"Proceedings of the 15th IBPSA Conference",2,,[No abstract available],,"Final",Scopus,2-s2.0-85107336957
"Holder M.","‘We’re getting there’: Smart meters on track to reach half of Britain’s homes and businesses in 2021",2020,,1,,[No abstract available],,"Final",Scopus,2-s2.0-85119061325
"Lokal Pewny",[No title available],2020,"Wielka płyta czy nowe budown-ictwo? [Large panel or new development]",1,,[No abstract available],,"Final",Scopus,2-s2.0-85119055395
[No author name available],[No title available],2019,"Budownictwo Wielkopłytowe Raport o Stanie Technicznym [Large panel system buildings, technical condition report]",1,,[No abstract available],,"Final",Scopus,2-s2.0-85119079620
[No author name available],[No title available],2019,"Transformation of 530 dwellings— Grand Parc Bordeaux",1,,[No abstract available],,"Final",Scopus,2-s2.0-85119079059
[No author name available],[No title available],2018,"Online forum Mieszkacie w wielkiej płycie? To już niedługo… [Do you live in a large panel? It’s coming soon…]",1,,[No abstract available],,"Final",Scopus,2-s2.0-85119086795
"Tofiluk A. M.","Prefabrication systems for multi‐family housing—“Big panel” yester-day and today",2017,"Prefabrykacja—Jakość, trwałość, różnorodność—Beton w architekturze [Prefabrication—Quality, durability, variety— Concrete in architecture]",1,,[No abstract available],,"Final",Scopus,2-s2.0-85119071740
"Lössl S.",[No title available],2016,"Stadtumbau im Märkischen Viertel [Refurbishment at Berlin’s Märkisches Viertel neigh-bourhood]",1,,[No abstract available],,"Final",Scopus,2-s2.0-85119064465
"Dębowski J., Nowak K., Nowak‐Dzieszko K.","Airtightness of the large panel buildings before and after thermal modernization",2014,"Technical Transactions—Architecture",1,,[No abstract available],,"Final",Scopus,2-s2.0-85119087791
"Baer‐Pásztory J., Bergmülle R.","Public participation in the EU—A comparison between East and West [Paper presentation]. Impact Assessment “The Next Generation",2013,"33rd Annual Meeting of the International Association for Impact Assessment",1,,[No abstract available],,"Final",Scopus,2-s2.0-85119036795
"Frendler‐Bielicka J.",[No title available],2013,"Jak i gdzie kupujemy żywność [How and where do we shop for food]",1,,[No abstract available],,"Final",Scopus,2-s2.0-85119034340
"Ostańska A.","Technical condition and energy analysis as the basic aspects of revital-ization of housing estates with large‐panel buildings",2009,"Przegląd Budowlany",1,,[No abstract available],,"Final",Scopus,2-s2.0-85119035886
"Bosker M., Buringh E., van Zanden J.",[No title available],2008,"VOXeu",1,,[No abstract available],,"Final",Scopus,2-s2.0-85119067290
"Dekker K., Van Kempen R.",[No title available],2005,"Large housing estates in Europe: A contemporary overview",1,,[No abstract available],,"Final",Scopus,2-s2.0-85119051014
"Korzeniewski W.",[No title available],1981,"Poradnik Projektanta Budown-ictwa Mieszkaniowego [Residential housing designer’s guidebook]",1,,[No abstract available],,"Final",Scopus,2-s2.0-85119068877
[No author name available],[No title available],0000,"Wady i zalety bloków z wielkiej płyty [Advantages and disadvantages of large panel system blocks]",1,,[No abstract available],,"Final",Scopus,2-s2.0-85119081671
