C	Fazio, M; Celesti, A; Marquez, FG; Glikson, A; Villari, M			IEEE	Fazio, Maria; Celesti, Antonio; Marquez, Fermin Galan; Glikson, Alex; Villari, Massimo			Exploiting the FIWARE Cloud Platform to Develop a Remote Patient Monitoring System	2015 IEEE SYMPOSIUM ON COMPUTERS AND COMMUNICATION (ISCC)					IEEE Symposium on Computers and Communication (ISCC)	JUL 06-09, 2015	Larnaca, CYPRUS																									978-1-4673-7194-0				2015							264	270										WOS:000380481500042						
J	Tao, F; Zuo, Y; Xu, LD; Zhang, L				Tao, Fei; Zuo, Ying; Xu, Li Da; Zhang, Lin			IoT-Based Intelligent Perception and Access of Manufacturing Resource Toward Cloud Manufacturing	IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS																	Tao, Fei/F-8944-2012; Zuo, Ying/Q-8298-2017	Tao, Fei/0000-0002-9020-0633; LAPA, ANTONIO/0000-0002-5954-5115; Zuo, Ying/0000-0002-9067-3932; Zhang, Lin/0000-0003-1989-6102												1551-3203	1941-0050				MAY	2014	10	2					1547	1557		10.1109/TII.2014.2306397								WOS:000336669800069						
J	Mitchell, R; Chen, IR				Mitchell, Robert; Chen, Ing-Ray			A Survey of Intrusion Detection Techniques for Cyber-Physical Systems	ACM COMPUTING SURVEYS																														0360-0300	1557-7341				MAR	2014	46	4							55	10.1145/2542049								WOS:000336405900013						
J	Abanda, FH; Tah, JHM; Keivani, R				Abanda, F. H.; Tah, J. H. M.; Keivani, R.			Trends in built environment semantic Web applications: Where are we today?	EXPERT SYSTEMS WITH APPLICATIONS																	Tah, Joseph/AAI-6944-2020; Jeong, Yongwook/N-7413-2016	Tah, Joseph/0000-0002-1950-8387; Keivani, Ramin/0000-0002-7140-0218												0957-4174	1873-6793				OCT 15	2013	40	14					5563	5577		10.1016/j.eswa.2013.04.027								WOS:000321089200015						
J	Gubbi, J; Buyya, R; Marusic, S; Palaniswami, M				Gubbi, Jayavardhana; Buyya, Rajkumar; Marusic, Slaven; Palaniswami, Marimuthu			Internet of Things (IoT): A vision, architectural elements, and future directions	FUTURE GENERATION COMPUTER SYSTEMS-THE INTERNATIONAL JOURNAL OF ESCIENCE																	Gubbi, Jayavardhana/ABF-9315-2020; Palaniswami, Marimuthu/AAE-2179-2022; Jeong, Yongwook/N-7413-2016; Buyya, Rajkumar/C-3424-2009	Buyya, Rajkumar/0000-0001-9754-6496; Palaniswami, Marimuthu Swami/0000-0002-3635-4252												0167-739X	1872-7115				SEP	2013	29	7					1645	1660		10.1016/j.future.2013.01.010								WOS:000320635700001						
J	Rezgui, Y; Beach, T; Rana, O				Rezgui, Yacine; Beach, Thomas; Rana, Omer			A GOVERNANCE APPROACH FOR BIM MANAGEMENT ACROSS LIFECYCLE AND SUPPLY CHAINS USING MIXED-MODES OF INFORMATION DELIVERY	JOURNAL OF CIVIL ENGINEERING AND MANAGEMENT																	Rana, Omer/E-4314-2015; Rezgui, Yacine/ABE-6712-2020; Rana, Omer/AAP-8523-2020	Rana, Omer/0000-0003-3597-2646; Rezgui, Yacine/0000-0002-5711-8400; Rana, Omer/0000-0003-3597-2646; Beach, Thomas/0000-0001-5610-8027												1392-3730	1822-3605					2013	19	2					239	258		10.3846/13923730.2012.760480								WOS:000318184700009						
J	Ameri, F; Patil, L				Ameri, Farhad; Patil, Lalit			Digital manufacturing market: a semantic web-based framework for agile supply chain deployment	JOURNAL OF INTELLIGENT MANUFACTURING																	Patil, Lalit/AAU-9332-2021													0956-5515	1572-8145				OCT	2012	23	5					1817	1832		10.1007/s10845-010-0495-z								WOS:000308820200027						
J	Miorandi, D; Sicari, S; De Pellegrini, F; Chlamtac, I				Miorandi, Daniele; Sicari, Sabrina; De Pellegrini, Francesco; Chlamtac, Imrich			Internet of things: Vision, applications and research challenges	AD HOC NETWORKS																	Buckman, Alex H/A-1481-2014; Miorandi, Daniele/AAF-2298-2021													1570-8705	1570-8713				SEP	2012	10	7					1497	1516		10.1016/j.adhoc.2012.02.016								WOS:000307209600022						
J	Sridhar, S; Hahn, A; Govindarasu, M				Sridhar, Siddharth; Hahn, Adam; Govindarasu, Manimaran			Cyber-Physical System Security for the Electric Power Grid	PROCEEDINGS OF THE IEEE																														0018-9219	1558-2256				JAN	2012	100	1			SI		210	224		10.1109/JPROC.2011.2165269								WOS:000298326400016						
C	Rajput, Q; Haider, S		Karahoca, A; Kanbul, S		Rajput, Quratulain; Haider, Sajjad			A comparison of ontology-based and reference-set-based semantic annotation frameworks	WORLD CONFERENCE ON INFORMATION TECHNOLOGY (WCIT-2010)	Procedia Computer Science				1st World Conference on Information Technology (WCIT)	OCT 06-10, 2010	Bahcesehir Univ, Istanbul, TURKEY		Bahcesehir Univ								Haider, Sajjad/AAQ-4163-2020	Haider, Sajjad/0000-0002-4458-1594												1877-0509						2011	3									10.1016/j.procs.2011.01.045								WOS:000299159800241						
J	Huang, YL; Cardenas, AA; Amin, S; Lin, ZS; Tsai, HY; Sastry, S				Huang, Yu-Lun; Cardenas, Alvaro A.; Amin, Saurabh; Lin, Zong-Syun; Tsai, Hsin-Yi; Sastry, Shankar			Understanding the physical and economic consequences of attacks on control systems	INTERNATIONAL JOURNAL OF CRITICAL INFRASTRUCTURE PROTECTION																		Cardenas, Alvaro/0000-0002-5142-9750												1874-5482					OCT	2009	2	3					73	83		10.1016/j.ijcip.2009.06.001								WOS:000208416100003						
J	Shin, DH				Shin, Dong-Hee			Ubiquitous city: Urban technologies, urban infrastructure and urban informatics	JOURNAL OF INFORMATION SCIENCE																	Shin, Donghee/T-3545-2019	Shin, Donghee/0000-0002-5439-4493												0165-5515	1741-6485				OCT	2009	35	5					515	526		10.1177/0165551509100832								WOS:000269800900002						
J	Howard, R; Bjork, BC				Howard, Rob; Bjork, Bo-Christer			Building information modelling - Experts' views on standardisation and industry deployment	ADVANCED ENGINEERING INFORMATICS																		Bjork, Bo-Christer/0000-0003-1545-9642												1474-0346					APR	2008	22	2					271	280		10.1016/j.aei.2007.03.001								WOS:000255302200010						
C	Luk, M; Mezzour, G; Perrig, A; Gligor, V			ACM	Luk, Mark; Mezzour, Ghita; Perrig, Adrian; Gligor, Virgil			MiniSec: A secure sensor network communication architecture	PROCEEDINGS OF THE SIXTH INTERNATIONAL SYMPOSIUM ON INFORMATION PROCESSING IN SENSOR NETWORKS					6th International Symposium on Information Processing Sensor Networks	APR 25-27, 2007	Cambridge, MA	ACM SIGBED, IEEE Signal Proc Soc																								978-1-59593-638-7				2007							479	488		10.1145/1236360.1236421								WOS:000251798600050						
J	Yang, QZ; Zhang, Y				Yang, Q. Z.; Zhang, Y.			Semantic interoperability in building design: Methods and tools	COMPUTER-AIDED DESIGN																														0010-4485					OCT	2006	38	10					1099	1112		10.1016/j.cad.2006.06.003								WOS:000241273300005						
S	Parno, B; Kuo, C; Perrig, A		DiCrescenzo, G; Rubin, A		Parno, Bryan; Kuo, Cynthia; Perrig, Adrian			Phoolproof phishing prevention	FINANCIAL CRYPTOGRAPHY AND DATA SECURITY	Lecture Notes in Computer Science				10th International Conference on Financial Cryptography and Data Security	FEB 27-MAR 02, 2006	Anguilla, W IND ASSOC ST	EverBank, Navio, Offshore Informat Serv, Google, NCipher, Bibit																						0302-9743	1611-3349	3-540-46255-4				2006	4107						1	19										WOS:000241687500001						
J	Perrig, A; Stankovic, J; Wagner, D				Perrig, A; Stankovic, J; Wagner, D			Security in wireless sensor networks	COMMUNICATIONS OF THE ACM																														0001-0782	1557-7317				JUN	2004	47	6					53	57		10.1145/990680.990707								WOS:000221641400017						
C	Karlof, C; Wagner, D		Cayirci, E; Znati, T; Ekici, E		Karlof, C; Wagner, D			Secure routing in wireless sensor networks: Attacks and countermeasures	PROCEEDINGS OF THE FIRST IEEE INTERNATIONAL WORKSHOP ON SENSOR NETWORK PROTOCOLS AND APPLICATIONS					1st IEEE International Workshop on Sensor Network Protocols and Applications	MAY 11, 2003	ANCHORAGE, AK	IEEE Commun Soc, IEEE																								0-7803-7879-2				2003							113	127		10.1109/SNPA.2003.1203362								WOS:000183433200012						
J	Perrig, A; Szewczyk, R; Tygar, JD; Wen, V; Culler, DE				Perrig, A; Szewczyk, R; Tygar, JD; Wen, V; Culler, DE			SPINS: Security protocols for sensor networks	WIRELESS NETWORKS																														1022-0038	1572-8196				SEP	2002	8	5					521	534		10.1023/A:1016598314198								WOS:000177140900009						
