PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Chen, BT; Wan, JF; Shu, L; Li, P; Mukherjee, M; Yin, BX				Chen, Baotong; Wan, Jiafu; Shu, Lei; Li, Peng; Mukherjee, Mithun; Yin, Boxin			Smart Factory of Industry 4.0: Key Technologies, Application Case, and Challenges	IEEE ACCESS																	Chen, Baotong/AAV-2923-2020; Wan, Jiafu/I-3059-2016; Chen, Baotong/L-6294-2018	Wan, Jiafu/0000-0001-9188-4179; Chen, Baotong/0000-0003-2324-4916; Shu, Lei/0000-0002-6700-9347												2169-3536						2018	6						6505	6519		10.1109/ACCESS.2017.2783682								WOS:000427480200001						
J	Yin, Y; Stecke, KE; Li, DN				Yin, Yong; Stecke, Kathryn E.; Li, Dongni			The evolution of production systems from Industry 2.0 through Industry 4.0	INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH																														0020-7543	1366-588X					2018	56	1-2			SI		848	861		10.1080/00207543.2017.1403664								WOS:000428859200050						
J	Voulodimos, A; Doulamis, N; Doulamis, A; Protopapadakis, E				Voulodimos, Athanasios; Doulamis, Nikolaos; Doulamis, Anastasios; Protopapadakis, Eftychios			Deep Learning for Computer Vision: A Brief Review	COMPUTATIONAL INTELLIGENCE AND NEUROSCIENCE																	Doulamis, Anastasios/AAL-5972-2021; Protopapadakis, Eftychios/AAP-1371-2021; Voulodimos, Athanasios/ABC-1836-2021	Protopapadakis, Eftychios/0000-0003-3876-0024; 												1687-5265	1687-5273					2018	2018								7068349	10.1155/2018/7068349								WOS:000424892900001	29487619					
J	Du, J; Zou, ZB; Shi, YM; Zhao, D				Du, Jing; Zou, Zhengbo; Shi, Yangming; Zhao, Dong			Zero latency: Real-time synchronization of BIM data in virtual reality for collaborative decision-making	AUTOMATION IN CONSTRUCTION																	Zhao, Dong/P-7256-2014; Shi, Yangming/AAT-8768-2021	Zhao, Dong/0000-0002-2404-7669; Shi, Yangming/0000-0002-4400-4332												0926-5805	1872-7891				JAN	2018	85						51	64		10.1016/j.autcon.2017.10.009								WOS:000424071900005						
J	Liu, YF; Fan, YY; Dong, HY; Zhang, JX				Liu, Yun-feng; Fan, Ying-ying; Dong, Hui-yue; Zhang, Jian-xing			An Investigation of Two Finite Element Modeling Solutions for Biomechanical Simulation Using a Case Study of a Mandibular Bone	JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME																														0148-0731	1528-8951				DEC	2017	139	12							121006	10.1115/1.4037633								WOS:000414346200006	28816344					
J	Alves, M; Carreira, P; Costa, AA				Alves, Miguel; Carreira, Paulo; Costa, Antonio Aguiar			BIMSL: A generic approach to the integration of building information models with real-time sensor data	AUTOMATION IN CONSTRUCTION																	Costa, Antonio Aguiar/G-2467-2010	Costa, Antonio Aguiar/0000-0002-5123-4451												0926-5805	1872-7891				DEC	2017	84						304	314		10.1016/j.autcon.2017.09.005								WOS:000413607600025						
J	Solihin, W; Eastman, C; Lee, YC; Yang, DH				Solihin, Wawan; Eastman, Charles; Lee, Yong-Cheol; Yang, Dong-Hoon			A simplified relational database schema for transformation of BIM data into a query-efficient and spatially enabled database	AUTOMATION IN CONSTRUCTION																	Jeong, Yongwook/N-7413-2016	Solihin, Wawan/0000-0001-7538-5265												0926-5805	1872-7891				DEC	2017	84						367	383		10.1016/j.autcon.2017.10.002								WOS:000413607600031						
J	Mohagheghi, V; Mousavi, SM; Vahdani, B				Mohagheghi, Vahid; Mousavi, S. Meysam; Vahdani, Behnam			Analyzing project cash flow by a new interval type-2 fuzzy model with an application to construction industry	NEURAL COMPUTING & APPLICATIONS																	Vahdani, Behnam/AAU-9080-2021	vahdani, behnam/0000-0001-9850-2698												0941-0643	1433-3058				NOV	2017	28	11					3393	3411		10.1007/s00521-016-2235-6								WOS:000412313900022						
J	Lee, W; Lin, KY; Seto, E; Migliaccio, GC				Lee, Wonil; Lin, Ken-Yu; Seto, Edmund; Migliaccio, Giovanni C.			Wearable sensors for monitoring on-duty and off-duty worker physiological status and activities in construction	AUTOMATION IN CONSTRUCTION																	Lee, Wonil/AAH-7631-2020; Migliaccio, Giovanni C/I-7529-2012	Migliaccio, Giovanni C/0000-0002-3363-2245; Lin, Ken-Yu/0000-0002-3613-6802; Lee, Wonil/0000-0002-3289-5406												0926-5805	1872-7891				NOV	2017	83						341	353		10.1016/j.autcon.2017.06.012								WOS:000411533400028						
J	Han, XF; Jin, JS; Wang, MJ; Jiang, W; Gao, L; Xiao, LP				Han, Xian-Feng; Jin, Jesse S.; Wang, Ming-Jie; Jiang, Wei; Gao, Lei; Xiao, Liping			A review of algorithms for filtering the 3D point cloud	SIGNAL PROCESSING-IMAGE COMMUNICATION																														0923-5965	1879-2677				SEP	2017	57						103	112		10.1016/j.image.2017.05.009								WOS:000412265100011						
J	Islam, MS; Nepal, MP; Skitmore, M; Attarzadeh, M				Islam, Muhammad Saiful; Nepal, Madhav Prasad; Skitmore, Martin; Attarzadeh, Meghdad			Current research trends and application areas of fuzzy and hybrid methods to the risk assessment of construction projects	ADVANCED ENGINEERING INFORMATICS																	Skitmore, Martin/I-9743-2012; saiful'mridha, the/ABF-8549-2020; Nepal, Madhav/AAW-9947-2020; Islam, Muhammad Saiful/ABE-4103-2020	Skitmore, Martin/0000-0001-7135-1201; Nepal, Madhav/0000-0001-8465-8886; Islam, Muhammad Saiful/0000-0002-6414-1211												1474-0346	1873-5320				AUG	2017	33						112	131		10.1016/j.aei.2017.06.001								WOS:000412612100009						
J	Gerboni, G; Diodato, A; Ciuti, G; Cianchetti, M; Menciassi, A				Gerboni, Giada; Diodato, Alessandro; Ciuti, Gastone; Cianchetti, Matteo; Menciassi, Arianna			Feedback Control of Soft Robot Actuators via Commercial Flex Bend Sensors	IEEE-ASME TRANSACTIONS ON MECHATRONICS																	Cianchetti, Matteo/N-1584-2019; Cianchetti, Matteo/C-8480-2012; CIUTI, Gastone/T-6377-2018	Cianchetti, Matteo/0000-0002-9016-8039; Cianchetti, Matteo/0000-0002-9016-8039; Gerboni, Giada/0000-0003-3169-2188; CIUTI, Gastone/0000-0002-0855-7976												1083-4435	1941-014X				AUG	2017	22	4					1881	1888		10.1109/TMECH.2017.2699677								WOS:000408142300039						
J	Kang, B; Kim, D; Choo, H				Kang, Byungseok; Kim, Daecheon; Choo, Hyunseung			Internet of Everything: A Large-Scale Autonomic IoT Gateway	IEEE TRANSACTIONS ON MULTI-SCALE COMPUTING SYSTEMS																		Kang, Byungseok/0000-0001-7624-4640												2332-7766					JUL-SEP	2017	3	3					206	214		10.1109/TMSCS.2017.2705683								WOS:000424690300006						
J	Lee, J; Kim, J				Lee, Joosung; Kim, Jaejun			BIM-Based 4D Simulation to Improve Module Manufacturing Productivity for Sustainable Building Projects	SUSTAINABILITY																	Kim, Jaejun/AAD-4037-2020														2071-1050				MAR	2017	9	3							426	10.3390/su9030426								WOS:000398714100103						
J	Colombo, AW; Karnouskos, S; Kaynak, O; Shi, Y; Yin, S				Colombo, Armando W.; Karnouskos, Stamatis; Kaynak, Okyay; Shi, Yang; Yin, Shen			Industrial Cyberphysical Systems	IEEE INDUSTRIAL ELECTRONICS MAGAZINE																	Kaynak, Okyay/H-5942-2011; Shi, Yang/D-2023-2009; Karnouskos, Stamatis/O-1877-2019; Colombo, Armando Walter/AAC-3284-2019; Yin, Shen/I-5855-2014; Karnouskos, Stamatis/D-3191-2016	Kaynak, Okyay/0000-0002-4789-6700; Shi, Yang/0000-0003-1337-5322; Karnouskos, Stamatis/0000-0003-3519-8232; Yin, Shen/0000-0002-3802-9269; Karnouskos, Stamatis/0000-0003-3519-8232; Dr. Colombo, Armando Walter/0000-0003-1431-7589												1932-4529	1941-0115				MAR	2017	11	1					6	16		10.1109/MIE.2017.2648857								WOS:000398611600003						
J	Wollschlaeger, M; Sauter, T; Jasperneite, J				Wollschlaeger, Martin; Sauter, Thilo; Jasperneite, Juergen			The Future of Industrial Communication	IEEE INDUSTRIAL ELECTRONICS MAGAZINE																	Sauter, Thilo/V-3610-2019	Sauter, Thilo/0000-0003-1559-8394; Jasperneite, Juergen/0000-0001-7962-2491												1932-4529	1941-0115				MAR	2017	11	1					17	27		10.1109/MIE.2017.2649104								WOS:000398611600004						
