J	Macher, H; Landes, T; Grussenmeyer, P				Macher, Helene; Landes, Tania; Grussenmeyer, Pierre			From Point Clouds to Building Information Models: 3D Semi-Automatic Reconstruction of Indoors of Existing Buildings	APPLIED SCIENCES-BASEL																	Pierre, Grussenmeyer/B-4570-2010	Pierre, Grussenmeyer/0000-0002-7292-2755; Macher, Helene/0000-0002-2686-0864													2076-3417				OCT	2017	7	10							1030	10.3390/app7101030								WOS:000414457800068						
J	Khaloo, A; Lattanzi, D				Khaloo, Ali; Lattanzi, David			Robust normal estimation and region growing segmentation of infrastructure 3D point cloud models	ADVANCED ENGINEERING INFORMATICS																		Lattanzi, David/0000-0001-9247-0680												1474-0346	1873-5320				OCT	2017	34						1	16		10.1016/j.aei.2017.07.002								WOS:000419413500001						
J	Sattler, T; Leibe, B; Kobbelt, L				Sattler, Torsten; Leibe, Bastian; Kobbelt, Leif			Efficient & Effective Prioritized Matching for Large-Scale Image-Based Localization	IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE																	Sattler, Torsten/AAM-3155-2021; Leibe, Bastian/E-5499-2017	Sattler, Torsten/0000-0001-9760-4553; Leibe, Bastian/0000-0003-4225-0051												0162-8828	1939-3539				SEP	2017	39	9					1744	1756		10.1109/TPAMI.2016.2611662								WOS:000406840800004	27662671					
J	Zadeh, PA; Wang, G; Cavka, HB; Staub-French, S; Pottinger, R				Zadeh, Puyan A.; Wang, Guan; Cavka, Hasan B.; Staub-French, Sheryl; Pottinger, Rachel			Information Quality Assessment for Facility Management	ADVANCED ENGINEERING INFORMATICS																	Çavka, Hasan Burak/R-1698-2019; Staub-French, Sheryl/AAX-7769-2020	Çavka, Hasan Burak/0000-0002-8923-4641; 												1474-0346	1873-5320				AUG	2017	33						181	205		10.1016/j.aei.2017.06.003								WOS:000412612100014						
J	Krizhevsky, A; Sutskever, I; Hinton, GE				Krizhevsky, Alex; Sutskever, Ilya; Hinton, Geoffrey E.			ImageNet Classification with Deep Convolutional Neural Networks	COMMUNICATIONS OF THE ACM																	Chan, Celine/AAT-7153-2020	Belmont, John/0000-0001-7409-3578												0001-0782	1557-7317				JUN	2017	60	6					84	90		10.1145/3065386								WOS:000402555400026	15287819					
C	Huang, G; Liu, Z; van der Maaten, L; Weinberger, KQ			IEEE	Huang, Gao; Liu, Zhuang; van der Maaten, Laurens; Weinberger, Kilian Q.			Densely Connected Convolutional Networks	30TH IEEE CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION (CVPR 2017)	IEEE Conference on Computer Vision and Pattern Recognition				30th IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)	JUL 21-26, 2017	Honolulu, HI	IEEE, IEEE Comp Soc, CVF									Huang, Gao/AAB-1776-2019													1063-6919		978-1-5386-0457-1				2017							2261	2269		10.1109/CVPR.2017.243								WOS:000418371402035						
C	Boroujeni, KA; Han, K		Lin, KY; ElGohary, N; Tang, P		Boroujeni, Khashayar Asadi; Han, Kevin			Perspective-Based Image-to-BIM Alignment for Automated Visual Data Collection and Construction Performance Monitoring	COMPUTING IN CIVIL ENGINEERING 2017: SENSING, SIMULATION, AND VISUALIZATION					ASCE International Workshop on Computing in Civil Engineering (IWCCE)	JUN 25-27, 2017	Univ Washington, Seattle, WA	Amer Soc Civil Engineers, Amer Soc Civil Engineers, Comp Div	Univ Washington									Han, Kevin/0000-0002-2995-8381; Asadi, Khashayar/0000-0003-0665-1579														978-0-7844-8083-0				2017							171	178										WOS:000426798700022						
C	Walch, F; Hazirbas, C; Leal-Taixe, L; Sattler, T; Hilsenbeck, S; Cremers, D			IEEE	Walch, F.; Hazirbas, C.; Leal-Taixe, L.; Sattler, T.; Hilsenbeck, S.; Cremers, D.			Image-based localization using LSTMs for structured feature correlation	2017 IEEE INTERNATIONAL CONFERENCE ON COMPUTER VISION (ICCV)	IEEE International Conference on Computer Vision				16th IEEE International Conference on Computer Vision (ICCV)	OCT 22-29, 2017	Venice, ITALY	IEEE, IEEE Comp Soc										Hazirbas, Caner/0000-0003-1980-5768												1550-5499		978-1-5386-1032-9				2017							627	637		10.1109/ICCV.2017.75								WOS:000425498400066						
C	McCormac, J; Handa, A; Leutenegger, S; Davison, AJ			IEEE	McCormac, John; Handa, Ankur; Leutenegger, Stefan; Davison, Andrew J.			SceneNet RGB-D: Can 5M Synthetic Images Beat Generic ImageNet Pre-training on Indoor Segmentation?	2017 IEEE INTERNATIONAL CONFERENCE ON COMPUTER VISION (ICCV)	IEEE International Conference on Computer Vision				16th IEEE International Conference on Computer Vision (ICCV)	OCT 22-29, 2017	Venice, ITALY	IEEE, IEEE Comp Soc																						1550-5499		978-1-5386-1032-9				2017							2697	2706		10.1109/ICCV.2017.292								WOS:000425498402080						
C	Sun, X; Xie, YF; Luo, P; Wang, L			IEEE	Sun, Xun; Xie, Yuanfan; Luo, Pei; Wang, Liang			A Dataset for Benchmarking Image-based Localization	30TH IEEE CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION (CVPR 2017)	IEEE Conference on Computer Vision and Pattern Recognition				30th IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)	JUL 21-26, 2017	Honolulu, HI	IEEE, IEEE Comp Soc, CVF																						1063-6919		978-1-5386-0457-1				2017							5641	5649		10.1109/CVPR.2017.598								WOS:000418371405077						
C	Kendall, A; Cipolla, R			IEEE	Kendall, Alex; Cipolla, Roberto			Geometric loss functions for camera pose regression with deep learning	30TH IEEE CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION (CVPR 2017)	IEEE Conference on Computer Vision and Pattern Recognition				30th IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)	JUL 21-26, 2017	Honolulu, HI	IEEE, IEEE Comp Soc, CVF									Arandjelović, Ognjen/V-5255-2019	Arandjelović, Ognjen/0000-0002-9314-194X; Cipolla, Roberto/0000-0002-8999-2151												1063-6919		978-1-5386-0457-1				2017							6555	6564		10.1109/CVPR.2017.694								WOS:000418371406069						
C	Zhao, HS; Shi, JP; Qi, XJ; Wang, XG; Jia, JY			IEEE	Zhao, Hengshuang; Shi, Jianping; Qi, Xiaojuan; Wang, Xiaogang; Jia, Jiaya			Pyramid Scene Parsing Network	30TH IEEE CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION (CVPR 2017)	IEEE Conference on Computer Vision and Pattern Recognition				30th IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)	JUL 21-26, 2017	Honolulu, HI	IEEE, IEEE Comp Soc, CVF									Jia, Jiaya/I-3251-2012													1063-6919		978-1-5386-0457-1				2017							6230	6239		10.1109/CVPR.2017.660								WOS:000418371406035						
J	Barazzetti, L				Barazzetti, Luigi			Parametric as-built model generation of complex shapes from point clouds	ADVANCED ENGINEERING INFORMATICS																		BARAZZETTI, LUIGI/0000-0002-7859-8677												1474-0346	1873-5320				AUG	2016	30	3					298	311		10.1016/j.aei.2016.03.005								WOS:000382793700004						
J	Fang, YH; Cho, YK; Zhang, SJ; Perez, E				Fang, Yihai; Cho, Yong K.; Zhang, Sijie; Perez, Esau			Case Study of BIM and Cloud-Enabled Real-Time RFID Indoor Localization for Construction Management Applications	JOURNAL OF CONSTRUCTION ENGINEERING AND MANAGEMENT																		Fang, Yihai/0000-0002-9451-4947												0733-9364	1943-7862				JUL	2016	142	7							05016003	10.1061/(ASCE)CO.1943-7862.0001125								WOS:000378863600007						
J	Chaiyasarn, K; Kim, TK; Viola, F; Cipolla, R; Soga, K				Chaiyasarn, Krisada; Kim, Tae-Kyun; Viola, Fabio; Cipolla, Roberto; Soga, Kenichi			Distortion-Free Image Mosaicing for Tunnel Inspection Based on Robust Cylindrical Surface Estimation through Structure from Motion	JOURNAL OF COMPUTING IN CIVIL ENGINEERING																	Arandjelović, Ognjen/V-5255-2019; Soga, Kenichi/AAP-8416-2020	Arandjelović, Ognjen/0000-0002-9314-194X; Cipolla, Roberto/0000-0002-8999-2151; Chaiyasarn, Krisada/0000-0003-0222-8773												0887-3801	1943-5487				MAY	2016	30	3							04015045	10.1061/(ASCE)CP.1943-5487.0000516								WOS:000374868100018						
J	Alarifi, A; Al-Salman, A; Alsaleh, M; Alnafessah, A; Al-Hadhrami, S; Al-Ammar, MA; Al-Khalifa, HS				Alarifi, Abdulrahman; Al-Salman, AbdulMalik; Alsaleh, Mansour; Alnafessah, Ahmad; Al-Hadhrami, Suheer; Al-Ammar, Mai A.; Al-Khalifa, Hend S.			Ultra Wideband Indoor Positioning Technologies: Analysis and Recent Advances	SENSORS																	Al-Khalifa, Hend/AAY-5219-2020; Al-Khalifa, Hend S./F-3945-2011; Alnafessah, Ahmad/H-2312-2016	Al-Khalifa, Hend/0000-0002-7328-4935; Al-Khalifa, Hend S./0000-0002-7328-4935; Al-hadhrami, Suheer/0000-0003-2831-416X; Alnafessah, Ahmad/0000-0002-2017-8565												1424-8220					MAY	2016	16	5							707	10.3390/s16050707								WOS:000378510400078	27196906					
J	Wetzel, EM; Thabet, WY				Wetzel, Eric M.; Thabet, Walid Y.			The use of a BIM-based framework to support safe facility management processes	AUTOMATION IN CONSTRUCTION																		Wetzel, Eric/0000-0002-8692-6685												0926-5805	1872-7891				DEC	2015	60						12	24		10.1016/j.autcon.2015.09.004								WOS:000365065300002						
J	Bae, H; Golparvar-Fard, M; White, J				Bae, Hyojoon; Golparvar-Fard, Mani; White, Jules			Image-Based Localization and Content Authoring in Structure-from-Motion Point Cloud Models for Real-Time Field Reporting Applications	JOURNAL OF COMPUTING IN CIVIL ENGINEERING																														0887-3801	1943-5487				JUL	2015	29	4							B4014008	10.1061/(ASCE)CP.1943-5487.0000392								WOS:000356395000001						
J	Kang, TW; Hong, CH				Kang, Tae Wook; Hong, Chang Hee			A study on software architecture for effective BIM/GIS-based facility management data integration	AUTOMATION IN CONSTRUCTION																	Jeong, Yongwook/N-7413-2016	Kang, Taewook/0000-0002-3886-7692												0926-5805	1872-7891				JUN	2015	54						25	38		10.1016/j.autcon.2015.03.019								WOS:000353857400003						
C	Lazik, P; Rajagopal, N; Shih, O; Sinopoli, B; Rowe, A			ACM	Lazik, Patrick; Rajagopal, Niranjini; Shih, Oliver; Sinopoli, Bruno; Rowe, Anthony			ALPS: A Bluetooth and Ultrasound Platform for Mapping and Localization	SENSYS'15: PROCEEDINGS OF THE 13TH ACM CONFERENCE ON EMBEDDED NETWORKED SENSOR SYSTEMS					13th ACM Conference on Embedded Networked Sensor Systems (SenSys)	NOV 04-04, 2015	Seoul, SOUTH KOREA	ACM SIGARCH, ACM SIGBED, ACM SIGCOMM, ACM SIGMETRICS, ACM SIGMOBILE, ACM SIGOPS, Golfzon, NSF, KAIST Sch Comp, KAIST Ctr Mobile Software Platform, KT, Naver Labs, Samsung Electronics, SK Telecom, Seoul Metropolitan Govt, Korea Tourism Org, Kyungpook Nat Univ CSOS, DGIST																								978-1-4503-3631-4				2015							73	84		10.1145/2809695.2809727								WOS:000380612400008						
C	Kendall, A; Grimes, M; Cipolla, R			IEEE	Kendall, Alex; Grimes, Matthew; Cipolla, Roberto			PoseNet: A Convolutional Network for Real-Time 6-DOF Camera Relocalization	2015 IEEE INTERNATIONAL CONFERENCE ON COMPUTER VISION (ICCV)	IEEE International Conference on Computer Vision				IEEE International Conference on Computer Vision	DEC 11-18, 2015	Santiago, CHILE	Amazon, Microsoft, Sansatime, Baidu, Intel, Facebook, Adobe, Panasonic, 360, Google, Omron, Blippar, iRobot, Hiscene, nVidia, Mvrec, Viscovery, AiCure									Arandjelović, Ognjen/V-5255-2019	Arandjelović, Ognjen/0000-0002-9314-194X; Cipolla, Roberto/0000-0002-8999-2151												1550-5499		978-1-4673-8390-5				2015							2938	2946		10.1109/ICCV.2015.336								WOS:000380414100328						
J	Bosche, F; Ahmed, M; Turkan, Y; Haas, CT; Haas, R				Bosche, Frederic; Ahmed, Mahmoud; Turkan, Yelda; Haas, Carl T.; Haas, Ralph			The value of integrating Scan-to-BIM and Scan-vs-BIM techniques for construction monitoring using laser scanning and BIM: The case of cylindrical MEP components	AUTOMATION IN CONSTRUCTION					30th International Symposium on Automation and Robotics in Construction (ISARC)	AUG 11-15, 2013	Montreal, CANADA										Bosché, Frédéric/AAJ-9117-2020; Ahmed, Mahmoud/T-6792-2019	Bosche, Frederic/0000-0002-4064-8982; Turkan, Yelda/0000-0002-3224-5462												0926-5805	1872-7891				JAN	2015	49		B		SI		201	213		10.1016/j.autcon.2014.05.014								WOS:000347578900004						
C	Long, J; Shelhamer, E; Darrell, T			IEEE	Long, Jonathan; Shelhamer, Evan; Darrell, Trevor			Fully Convolutional Networks for Semantic Segmentation	2015 IEEE CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION (CVPR)	IEEE Conference on Computer Vision and Pattern Recognition				IEEE Conference on Computer Vision and Pattern Recognition (CVPR)	JUN 07-12, 2015	Boston, MA	IEEE																						1063-6919		978-1-4673-6964-0				2015							3431	3440		10.1109/cvpr.2015.7298965								WOS:000387959203050						
J	Torok, MM; Golparvar-Fard, M; Kochersberger, KB				Torok, Matthew M.; Golparvar-Fard, Mani; Kochersberger, Kevin B.			Image-Based Automated 3D Crack Detection for Post-disaster Building Assessment	JOURNAL OF COMPUTING IN CIVIL ENGINEERING																														0887-3801	1943-5487				SEP	2014	28	5			SI				A4014004	10.1061/(ASCE)CP.1943-5487.0000334								WOS:000344003800002						
J	Motamedi, A; Hammad, A; Asen, Y				Motamedi, Ali; Hammad, Amin; Asen, Yoosef			Knowledge-assisted BIM-based visual analytics for failure root cause detection in facilities management	AUTOMATION IN CONSTRUCTION																		Motamedi, Ali/0000-0002-7012-440X												0926-5805	1872-7891				JUL	2014	43						73	83		10.1016/j.autcon.2014.03.012								WOS:000338814900009						
J	Bosche, F; Guillemet, A; Turkan, Y; Haas, CT; Haas, R				Bosche, Frederic; Guillemet, Adrien; Turkan, Yelda; Haas, Carl T.; Haas, Ralph			Tracking the Built Status of MEP Works: Assessing the Value of a Scan-vs.-BIM System	JOURNAL OF COMPUTING IN CIVIL ENGINEERING																	Bosché, Frédéric/AAJ-9117-2020	Turkan, Yelda/0000-0002-3224-5462; Bosche, Frederic/0000-0002-4064-8982												0887-3801	1943-5487				JUL	2014	28	4							05014004	10.1061/(ASCE)CP.1943-5487.0000343								WOS:000344003600007						
J	Li, N; Becerik-Gerber, B; Krishnamachari, B; Soibelman, L				Li, Nan; Becerik-Gerber, Burcin; Krishnamachari, Bhaskar; Soibelman, Lucio			A BIM centered indoor localization algorithm to support building fire emergency response operations	AUTOMATION IN CONSTRUCTION																	Li, Nan/W-4397-2017; Becerik-Gerber, Burcin/D-6897-2013	Li, Nan/0000-0002-7272-4273; Becerik-Gerber, Burcin/0000-0001-8648-0989; Soibelman, Lucio/0000-0002-8701-0521												0926-5805	1872-7891				JUN	2014	42						78	89		10.1016/j.autcon.2014.02.019								WOS:000336112100007						
J	Hou, L; Wang, Y; Wang, XY; Maynard, N; Cameron, IT; Zhang, SH; Jiao, Y				Hou, Lei; Wang, Ying; Wang, Xiangyu; Maynard, Nicoleta; Cameron, Ian T.; Zhang, Shaohua; Jiao, Yi			Combining Photogrammetry and Augmented Reality Towards an Integrated Facility Management System for the Oil Industry	PROCEEDINGS OF THE IEEE																	Wang, Xiangyu/B-6232-2013; hou, lei/G-7267-2016	Maynard, Nicoleta/0000-0001-7965-0716; hou, lei/0000-0002-5503-414X; Wang, Xiangyu/0000-0001-8718-6941												0018-9219	1558-2256				FEB	2014	102	2			SI		204	220		10.1109/JPROC.2013.2295327								WOS:000330617000009						
J	Motamedi, A; Soltani, MM; Hammad, A				Motamedi, Ali; Soltani, Mohammad Mostafa; Hammad, Amin			Localization of RFID-equipped assets during the operation phase of facilities	ADVANCED ENGINEERING INFORMATICS																		Motamedi, Ali/0000-0002-7012-440X												1474-0346	1873-5320				OCT	2013	27	4					566	579		10.1016/j.aei.2013.07.001								WOS:000328525700014						
J	Wang, XY; Love, PED; Kim, MJ; Park, CS; Sing, CP; Hou, L				Wang, Xiangyu; Love, Peter E. D.; Kim, Mi Jeong; Park, Chan-Sik; Sing, Chun-Pong; Hou, Lei			A conceptual framework for integrating building information modeling with augmented reality	AUTOMATION IN CONSTRUCTION																	Wang, Xiangyu/B-6232-2013; Sing, Michael Chun Pong/O-2180-2015; Kim, Mi Jeong/Z-6248-2019; Love, Peter/D-7418-2017; hou, lei/G-7267-2016	Kim, Mi Jeong/0000-0002-0727-2741; Love, Peter/0000-0002-3239-1304; Park, Chansik/0000-0003-2256-300X; hou, lei/0000-0002-5503-414X; Wang, Xiangyu/0000-0001-8718-6941; SING, Chun Pong/0000-0003-3526-0702												0926-5805	1872-7891				SEP	2013	34				SI		37	44		10.1016/j.autcon.2012.10.012								WOS:000321092700005						
J	Xiong, XH; Adan, A; Akinci, B; Huber, D				Xiong, Xuehan; Adan, Antonio; Akinci, Burcu; Huber, Daniel			Automatic creation of semantically rich 3D building models from laser scanner data	AUTOMATION IN CONSTRUCTION																	Adán, Antonio/A-1153-2012	Adán, Antonio/0000-0002-0370-9651												0926-5805	1872-7891				MAY	2013	31						325	337		10.1016/j.autcon.2012.10.006								WOS:000315933100031						
C	Straub, J; Hilsenbeck, S; Schroth, G; Huitl, R; Moller, A; Steinbach, E			IEEE	Straub, J.; Hilsenbeck, S.; Schroth, G.; Huitl, R.; Moeller, A.; Steinbach, E.			FAST RELOCALIZATION FOR VISUAL ODOMETRY USING BINARY FEATURES	2013 20TH IEEE INTERNATIONAL CONFERENCE ON IMAGE PROCESSING (ICIP 2013)	IEEE International Conference on Image Processing ICIP				20th IEEE International Conference on Image Processing (ICIP)	SEP 15-18, 2013	Melbourne, AUSTRALIA	Inst Elect & Elect Engineers, IEEE Signal Proc Soc									Straub, Jeremy/O-7131-2016	Straub, Jeremy/0000-0002-9821-2858												1522-4880		978-1-4799-2341-0				2013							2548	2552										WOS:000351597602134						
J	Westoby, MJ; Brasington, J; Glasser, NF; Hambrey, MJ; Reynolds, JM				Westoby, M. J.; Brasington, J.; Glasser, N. F.; Hambrey, M. J.; Reynolds, J. M.			'Structure-from-Motion' photogrammetry: A low-cost, effective tool for geoscience applications	GEOMORPHOLOGY																	Brasington, James/D-3523-2012; Westoby, Matthew/D-3880-2016	Westoby, Matthew/0000-0002-2070-5580; Brasington, James/0000-0002-1383-7462; Glasser, Neil/0000-0002-8245-2670												0169-555X	1872-695X				DEC 15	2012	179						300	314		10.1016/j.geomorph.2012.08.021								WOS:000313458000022						
J	Taneja, S; Akcamete, A; Akinci, B; Garrett, JH; Soibelman, L; East, EW				Taneja, Saurabh; Akcamete, Asli; Akinci, Burcu; Garrett, James H., Jr.; Soibelman, Lucio; East, E. William			Analysis of Three Indoor Localization Technologies for Supporting Operations and Maintenance Field Tasks	JOURNAL OF COMPUTING IN CIVIL ENGINEERING																	Akcamete, Asli/G-3116-2018	Akcamete, Asli/0000-0002-5477-7849; Garrett, James/0000-0002-8408-2407												0887-3801	1943-5487				NOV-DEC	2012	26	6					708	719		10.1061/(ASCE)CP.1943-5487.0000177								WOS:000313292800003						
J	Becerik-Gerber, B; Jazizadeh, F; Li, N; Calis, G				Becerik-Gerber, Burcin; Jazizadeh, Farrokh; Li, Nan; Calis, Gulben			Application Areas and Data Requirements for BIM-Enabled Facilities Management	JOURNAL OF CONSTRUCTION ENGINEERING AND MANAGEMENT																	Li, Nan/W-4397-2017; CALIS, GULBEN/X-8916-2018; Jazizadeh, Farrokh/P-8822-2014; Becerik-Gerber, Burcin/D-6897-2013; CALIS, GULBEN/AAF-7923-2020	Li, Nan/0000-0002-7272-4273; CALIS, GULBEN/0000-0003-3056-4870; Jazizadeh, Farrokh/0000-0002-0690-1307; Becerik-Gerber, Burcin/0000-0001-8648-0989; 												0733-9364	1943-7862				MAR	2012	138	3					431	442		10.1061/(ASCE)CO.1943-7862.0000433								WOS:000302218200013						
