PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Wang, C; Hou, SW; Wen, CL; Gong, Z; Li, Q; Sun, XT; Li, J				Wang, Cheng; Hou, Shiwei; Wen, Chenglu; Gong, Zheng; Li, Qing; Sun, Xiaotian; Li, Jonathan			Semantic line framework-based indoor building modeling using backpacked laser scanning point cloud	ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING																	Li, Jonathan/AAA-7712-2021; Wang, Cheng/A-9472-2012; Wen, Chenglu/D-5158-2018	Wen, Chenglu/0000-0002-6189-1236; LI, Jonathan/0000-0001-7899-0049												0924-2716	1872-8235				SEP	2018	143						150	166		10.1016/j.isprsjprs.2018.03.025								WOS:000442709900013						
J	Chen, K; Lu, WS; Xue, F; Tang, PB; Li, LH				Chen, Ke; Lu, Weisheng; Xue, Fan; Tang, Pingbo; Li, Ling Hin			Automatic building building information model reconstruction in high-density urban areas: Augmenting multi-source data with architectural knowledge	AUTOMATION IN CONSTRUCTION																	Tang, Pingbo/I-9534-2012; CHEN, KE/A-4018-2015; Xue, Fan/H-9198-2012; Lu, Wilson/E-2899-2010	CHEN, KE/0000-0003-3918-3820; Xue, Fan/0000-0003-2217-3693; Lu, Wilson/0000-0003-4674-0357												0926-5805	1872-7891				SEP	2018	93						22	34		10.1016/j.autcon.2018.05.009								WOS:000441687500003						
J	Bueno, M; Bosche, F; Gonzalez-Jorge, H; Martinez-Sanchez, J; Arias, P				Bueno, Martin; Bosche, Frederic; Gonzalez-Jorge, Higinio; Martinez-Sanchez, Joaquin; Arias, Pedro			4-Plane congruent sets for automatic registration of as-is 3D point clouds with 3D BIM models	AUTOMATION IN CONSTRUCTION																	, Arias/AAL-9383-2020; Martínez, Joaquín/X-2590-2019; Bosché, Frédéric/AAJ-9117-2020	, Arias/0000-0002-3547-8907; Martínez, Joaquín/0000-0003-0320-4191; Bosche, Frederic/0000-0002-4064-8982; Bueno, Martin/0000-0003-1174-7401												0926-5805	1872-7891				MAY	2018	89						120	134		10.1016/j.autcon.2018.01.014								WOS:000430777700011						
C	Deng, HW; Birdal, T; Ilie, S			IEEE	Deng, Haowen; Birdal, Tolga; Ilie, Slobodan			PPFNet: Global Context Aware Local Features for Robust 3D Point Matching	2018 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION (CVPR)	IEEE Conference on Computer Vision and Pattern Recognition				31st IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)	JUN 18-23, 2018	Salt Lake City, UT	IEEE, CVF, IEEE Comp Soc									Birdal, Tolga/H-9173-2019	Birdal, Tolga/0000-0001-7915-7964; Ilic, Slobodan/0000-0002-3413-1936												1063-6919		978-1-5386-6420-9				2018							195	205		10.1109/CVPR.2018.00028								WOS:000457843600021						
C	Yew, ZJ; Lee, GH		Ferrari, V; Hebert, M; Sminchisescu, C; Weiss, Y		Yew, Zi Jian; Lee, Gim Hee			3DFeat-Net: Weakly Supervised Local 3D Features for Point Cloud Registration	COMPUTER VISION - ECCV 2018, PT 15	Lecture Notes in Computer Science				15th European Conference on Computer Vision (ECCV)	SEP 08-14, 2018	Munich, GERMANY											Yew, Zi Jian/0000-0002-8094-7370												0302-9743	1611-3349	978-3-030-01267-0; 978-3-030-01266-3				2018	11219						630	646		10.1007/978-3-030-01267-0_37								WOS:000612999000037						
J	Cheng, L; Wu, Y; Chen, S; Zong, WW; Yuan, Y; Sun, YF; Zhuang, QZ; Li, MC				Cheng, Liang; Wu, Yang; Chen, Song; Zong, Wenwen; Yuan, Yi; Sun, Yuefan; Zhuang, Qizhi; Li, Manchun			A Symmetry-Based Method for LiDAR Point Registration	IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING																														1939-1404	2151-1535				JAN	2018	11	1					285	299		10.1109/JSTARS.2017.2752765								WOS:000422950700024						
C	Bianchini, C; Russo, M		Addison, AC; Thwaites, H		Bianchini, Carlo; Russo, Michele			Massive 3D acquisition of CH	2018 3RD DIGITAL HERITAGE INTERNATIONAL CONGRESS (DIGITALHERITAGE) HELD JOINTLY WITH 2018 24TH INTERNATIONAL CONFERENCE ON VIRTUAL SYSTEMS & MULTIMEDIA (VSMM 2018)					3rd Digital Heritage International Congress (DigitalHERITAGE) / 24th International Conference on Virtual Systems and Multimedia (VSMM)	OCT 26-30, 2018	San Francisco, CA	IEEE, IEEE Soc Social Implicat Technol									Russo, Michele/R-1429-2016	Russo, Michele/0000-0003-0869-6703														978-1-7281-0292-4				2018							482	489										WOS:000702153800082						
C	Eckart, B; Kim, K; Kautz, J		Ferrari, V; Hebert, M; Sminchisescu, C; Weiss, Y		Eckart, Benjamin; Kim, Kihwan; Kautz, Jan			HGMR: Hierarchical Gaussian Mixtures for Adaptive 3D Registration	COMPUTER VISION - ECCV 2018, PT 15	Lecture Notes in Computer Science				15th European Conference on Computer Vision (ECCV)	SEP 08-14, 2018	Munich, GERMANY																							0302-9743	1611-3349	978-3-030-01267-0; 978-3-030-01266-3				2018	11219						730	746		10.1007/978-3-030-01267-0_43								WOS:000612999000043						
C	Murali, S; Speciale, P; Oswald, MR; Pollefeys, M		Bicchi, A; Okamura, A		Murali, Srivathsan; Speciale, Pablo; Oswald, Martin R.; Pollefeys, Marc			Indoor Scan2BIM: Building Information Models of House Interiors	2017 IEEE/RSJ INTERNATIONAL CONFERENCE ON INTELLIGENT ROBOTS AND SYSTEMS (IROS)	IEEE International Conference on Intelligent Robots and Systems				IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)	SEP 24-28, 2017	Vancouver, CANADA	IEEE, RSJ, IEEE Robot & Automat Soc, IEEE IES, SICE, New Technol Fdn									Pollefeys, Marc/I-7607-2013; Oswald, Martin R./AAM-2779-2021													2153-0858		978-1-5386-2682-5				2017							6126	6133										WOS:000426978205107						
C	Liu, C; Wu, JJ; Kohli, P; Furukawa, Y			IEEE	Liu, Chen; Wu, Jiajun; Kohli, Pushmeet; Furukawa, Yasutaka			Raster-to-Vector: Revisiting Floorplan Transformation	2017 IEEE INTERNATIONAL CONFERENCE ON COMPUTER VISION (ICCV)	IEEE International Conference on Computer Vision				16th IEEE International Conference on Computer Vision (ICCV)	OCT 22-29, 2017	Venice, ITALY	IEEE, IEEE Comp Soc																						1550-5499		978-1-5386-1032-9				2017							2214	2222		10.1109/ICCV.2017.241								WOS:000425498402029						
