J	Gruen, A				Gruen, A.			Reality-based generation of virtual environments for digital earth	INTERNATIONAL JOURNAL OF DIGITAL EARTH																	Gruen, Armin/H-3906-2013													1753-8947	1753-8955					2008	1	1					88	106		10.1080/17538940701782585								WOS:000270011400008						
C	Triebel, R; Pfaff, P; Burgard, W			IEEE	Triebel, Rudolph; Pfaff, Patrick; Burgard, Wolfram			Multi-level surface maps for outdoor terrain mapping and loop closing	2006 IEEE/RSJ INTERNATIONAL CONFERENCE ON INTELLIGENT ROBOTS AND SYSTEMS, VOLS 1-12					IEEE/RSJ International Conference on Intelligent Robots and Systems	OCT 09-13, 2006	Beijing, PEOPLES R CHINA	IEEE, RSJ									Burgard, Wolfram/N-2381-2019; Triebel, Rudolph/ABG-8692-2020	Burgard, Wolfram/0000-0002-5680-6500; Triebel, Rudolph/0000-0002-7975-036X														978-1-4244-0258-8				2006							2276	+		10.1109/IROS.2006.282632								WOS:000245452402066						
J	Mayer, H				Mayer, H			Scale-spaces for generalization of 3D buildings	INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE																		Mayer, Helmut/0000-0002-9439-2695												1365-8816					SEP-OCT	2005	19	8-9					975	997		10.1080/13658810500161286								WOS:000232661400007						
C	Brakatsoulas, S; Pfoser, D; Tryfona, N		Bernardino, J; Desai, BC		Brakatsoulas, S; Pfoser, D; Tryfona, N			Modeling, storing and mining moving object databases	INTERNATIONAL DATABASE ENGINEERING AND APPLICATIONS SYMPOSIUM, PROCEEDINGS					International Database Engineering and Applications Symposium (IDEAS 04)	JUL 07-09, 2004	Coimbra, PORTUGAL	Inst Super Engenharia Coimbra, Univ Coimbra, Ctr Informat & Syst, Oracle Portugal, Byte Press, Camara Municipal Coimbra, Crit Software, S A, IEEE Comp Soc																								0-7695-2168-1				2004							68	77		10.1109/IDEAS.2004.1319779								WOS:000223083100007						
C	Samet, H; Kochut, A		Cortelazzo, GM; Guerra, C		Samet, H; Kochut, A			Octree approximation and compression methods	FIRST INTERNATIONAL SYMPOSIUM ON 3D DATA PROCESSING VISUALIZATION AND TRANSMISSION					1st International Symposium on 3D Data Processing Visualization and Transmission	JUN 19-21, 2002	PADUA, ITALY	Eurograph Assco, IEEE Soc Tech Comm Multimedia Signal Processing, Univ Padua, Dept Informat Engn, IBM T J Watson Lab, WIND, Veneto Reg																								0-7695-1521-5; 0-7695-1522-3				2002							460	469		10.1109/TDPVT.2002.1024101								WOS:000177028700064						
J	Gaede, V; Gunther, O				Gaede, V; Gunther, O			Multidimensional access methods	ACM COMPUTING SURVEYS																		Gunther, Oliver/0000-0002-0079-0423												0360-0300	1557-7341				JUN	1998	30	2					170	231		10.1145/280277.280279								WOS:000075569800002						
J	Chang, HKC; Liou, CY				Chang, HKC; Liou, CY			A constant key length coding scheme for linear quadtrees	INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SYSTEMS																														0269-3798					MAR	1996	10	2					205	218		10.1080/02693799608902074								WOS:A1996UA77600003						
J	FREEMAN, TG				FREEMAN, TG			CALCULATING CATCHMENT-AREA WITH DIVERGENT FLOW BASED ON A REGULAR GRID	COMPUTERS & GEOSCIENCES																														0098-3004						1991	17	3					413	422		10.1016/0098-3004(91)90048-I								WOS:A1991FE42200004						
J	DUNSTAN, SP; MILL, AJB				DUNSTAN, SP; MILL, AJB			SPATIAL INDEXING OF GEOLOGICAL MODELS USING LINEAR OCTREES	COMPUTERS & GEOSCIENCES																														0098-3004						1989	15	8					1291	1301		10.1016/0098-3004(89)90093-9								WOS:A1989CJ62300007						
J	YERRY, MA; SHEPHARD, MS				YERRY, MA; SHEPHARD, MS			AUTOMATIC 3-DIMENSIONAL MESH GENERATION BY THE MODIFIED-OCTREE TECHNIQUE	INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING																														0029-5981						1984	20	11					1965	1990		10.1002/nme.1620201103								WOS:A1984TT42100002						
J	MEAGHER, D				MEAGHER, D			GEOMETRIC MODELING USING OCTREE ENCODING	COMPUTER GRAPHICS AND IMAGE PROCESSING																														0148-664X						1982	19	2					129	147		10.1016/0146-664X(82)90104-6								WOS:A1982NR37000003						
J	BENTLEY, JL				BENTLEY, JL			MULTIDIMENSIONAL BINARY SEARCH TREES USED FOR ASSOCIATIVE SEARCHING	COMMUNICATIONS OF THE ACM																														0001-0782						1975	18	9					509	517		10.1145/361002.361007								WOS:A1975AP45900002						
