PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Li, CZ; Xue, F; Li, X; Hong, JK; Shen, GQ				Li, Clyde Zhengdao; Xue, Fan; Li, Xiao; Hong, Jingke; Shen, Geoffrey Qiping			An Internet of Things-enabled BIM platform for on-site assembly services in prefabricated construction	AUTOMATION IN CONSTRUCTION																	Shen, Geoffrey Qiping/A-1250-2014; Li, Xiao/AAG-9786-2021; Xue, Fan/H-9198-2012	Shen, Geoffrey Qiping/0000-0002-3111-2019; Li, Xiao/0000-0001-9702-4153; Xue, Fan/0000-0003-2217-3693												0926-5805	1872-7891				MAY	2018	89						146	161		10.1016/j.autcon.2018.01.001								WOS:000430777700013						
J	Kanan, R; Elhassan, O; Bensalem, R				Kanan, Raid; Elhassan, Obaidallah; Bensalem, Rofaida			An IoT-based autonomous system for workers' safety in construction sites with real-time alarming, monitoring, and positioning strategies	AUTOMATION IN CONSTRUCTION																		Kanan, Riad/0000-0001-6517-0711												0926-5805	1872-7891				APR	2018	88						73	86		10.1016/j.autcon.2017.12.033								WOS:000424962000007						
J	Nguyen, GT; Kim, K				Giang-Truong Nguyen; Kim, Kyungbaek			A Survey about Consensus Algorithms Used in Blockchain	JOURNAL OF INFORMATION PROCESSING SYSTEMS																	Kim, Kyungbaek/AAL-6555-2020	Kim, Kyungbaek/0000-0001-9985-3051												1976-913X	2092-805X				FEB	2018	14	1					101	128		10.3745/JIPS.01.0024								WOS:000436861300006						
J	Liu, GW; Li, KJ; Zhao, D; Mao, C				Liu, Guiwen; Li, Kaijian; Zhao, Dong; Mao, Chao			Business Model Innovation and Its Drivers in the Chinese Construction Industry during the Shift to Modular Prefabrication	JOURNAL OF MANAGEMENT IN ENGINEERING																	Zhao, Dong/P-7256-2014	Zhao, Dong/0000-0002-2404-7669; Li, Kaijian/0000-0002-8264-7662												0742-597X	1943-5479				MAY	2017	33	3							04016051	10.1061/(ASCE)ME.1943-5479.0000501								WOS:000398537700010						
J	Zhong, RY; Peng, Y; Xue, F; Fang, J; Zou, WW; Luo, H; Ng, ST; Lu, WS; Shen, GQP; Huang, GQ				Zhong, Ray Y.; Peng, Yi; Xue, Fan; Fang, Ji; Zou, Weiwu; Luo, Hao; Ng, S. Thomas; Lu, Weisheng; Shen, Geoffrey Q. P.; Huang, George Q.			Prefabricated construction enabled by the Internet-of-Things	AUTOMATION IN CONSTRUCTION																	Bahroun, Zied/F-6863-2019; Zhong, Ray Y./K-6918-2012; Huang, George Q/O-9005-2018; Ng, S. Thomas/AAZ-9757-2020; Xue, Fan/H-9198-2012; Shen, Geoffrey Qiping/A-1250-2014; Lu, Wilson/E-2899-2010	Bahroun, Zied/0000-0003-2832-3672; Huang, George Q/0000-0002-2362-6001; Ng, S. Thomas/0000-0003-2062-0234; Xue, Fan/0000-0003-2217-3693; Shen, Geoffrey Qiping/0000-0002-3111-2019; Lu, Wilson/0000-0003-4674-0357; Peng, Yi/0000-0002-7042-9254												0926-5805	1872-7891				APR	2017	76						59	70		10.1016/j.autcon.2017.01.006								WOS:000394068900006						
C	Zheng, ZB; Xie, SA; Dai, HN; Chen, XP; Wang, HM		Karypis, G; Zhang, J		Zheng, Zibin; Xie, Shaoan; Dai, Hongning; Chen, Xiangping; Wang, Huaimin			An Overview of Blockchain Technology: Architecture, Consensus, and Future Trends	2017 IEEE 6TH INTERNATIONAL CONGRESS ON BIG DATA (BIGDATA CONGRESS 2017)	IEEE International Congress on Big Data				IEEE 6th International Congress on Big Data (BigData Congress)	JUN 25-30, 2017	Honolulu, HI	IEEE, IEEE Comp Soc, Serv Comp, Serv Soc, Big Data, Hp, IBM, SAP, IBM Res, Huawei, Object Management Grp, Business Proc Integrat & Management, IT Profess, Int Journal Web Serv Res, Comp Now, IEEE Transact Serv Comp									Dai, Hong-Ning/B-1931-2012	Dai, Hong-Ning/0000-0001-6165-4196												2379-7703		978-1-5386-1996-4				2017							557	564		10.1109/BigDataCongress.2017.85								WOS:000428141800078						
C	Pongnumkul, S; Siripanpornchana, C; Thajchayapong, S			IEEE	Pongnumkul, Suporn; Siripanpornchana, Chaiyaphum; Thajchayapong, Suttipong			Performance Analysis of Private Blockchain Platforms in Varying Workloads	2017 26TH INTERNATIONAL CONFERENCE ON COMPUTER COMMUNICATION AND NETWORKS (ICCCN 2017)					26th International Conference on Computer Communication and Networks (ICCCN)	JUL 31-AUG 03, 2017	Vancouver, CANADA	IEEE, IEEE Commun Soc																								978-1-5090-2991-4				2017																		WOS:000463806000151						
J	Ramaji, IJ; Memari, AM				Ramaji, Issa J.; Memari, Ali M.			Product Architecture Model for Multistory Modular Buildings	JOURNAL OF CONSTRUCTION ENGINEERING AND MANAGEMENT																														0733-9364	1943-7862				OCT	2016	142	10							04016047	10.1061/(ASCE)CO.1943-7862.0001159								WOS:000384309900007						
J	Niu, YH; Lu, WS; Chen, K; Huang, GG; Anumba, C				Niu, Yuhan; Lu, Weisheng; Chen, Ke; Huang, George G.; Anumba, Chimay			Smart Construction Objects	JOURNAL OF COMPUTING IN CIVIL ENGINEERING																	CHEN, KE/A-4018-2015; Huang, George Q/O-9005-2018; Lu, Wilson/E-2899-2010	CHEN, KE/0000-0003-3918-3820; Huang, George Q/0000-0002-2362-6001; Lu, Wilson/0000-0003-4674-0357												0887-3801	1943-5487				JUL	2016	30	4							04015070	10.1061/(ASCE)CP.1943-5487.0000550								WOS:000378862000022						
J	Bankvall, L; Bygballe, LE; Dubois, A; Jahre, M				Bankvall, Lars; Bygballe, Lena E.; Dubois, Anna; Jahre, Marianne			Interdependence in supply chains and projects in construction	SUPPLY CHAIN MANAGEMENT-AN INTERNATIONAL JOURNAL																		/0000-0001-6214-5270												1359-8546	1758-6852					2010	15	5					385	393		10.1108/13598541011068314								WOS:000281937100005						
J	Zins, C				Zins, Chaim			Conceptual approaches for defining data, information, and knowledge	JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY																	Paniagua, Enrique/H-3536-2015	Paniagua, Enrique/0000-0001-5006-6428												1532-2882	1532-2890				FEB 15	2007	58	4					479	493		10.1002/asi.20508								WOS:000246379600003						
